Category,Score,Exchange,Contribution
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.41848842038206924,syngas,91.65077825226727
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",6.087841604468179e-05,heat CHP,0.013332637027725665
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",7.049078941781711e-05,electricity CHP,0.015437788467029315
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.03669958709878545,syncrude,8.037368670965192
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.0012745592283145667,H2,0.2791339963409041
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",7.812461870319818e-07,C1C4,0.00017109630173930943
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",1.0872072773912774e-05,H20,0.002381031068995107
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",2.2204115008309403e-06,naphta,0.00048627974438491736
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",4.166211216111941e-06,jet fuel,0.0009124183172652122
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",87.57022681707542,syngas,94.56033944260483
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",0.15645538535589198,heat CHP,0.16894411359446082
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",0.18115884641793423,electricity CHP,0.1956194774520133
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",4.540032908226506,syncrude,4.902431665265296
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",0.15767380008149565,H2,0.17025978576093379
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",9.656466560163607e-05,C1C4,0.00010427274074014195
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",0.0013438248905867092,H20,0.0014510929390504042
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",0.0002744503558991314,naphta,0.00029635778913964314
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",0.0005149577682267332,jet fuel,0.0005560632092896567
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.14816765591867748,syngas,90.5405597737035
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",4.765197815876511e-07,heat CHP,0.00029118613978659997
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",5.517596836400226e-07,electricity CHP,0.0003371628599209812
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.01495831540251423,syncrude,9.140552581587592
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.0005196983156218868,H2,0.31757117380383043
