Category,Score,Exchange,Contribution
Acidification (Ae) ,0.41848842,syngas,91.62803654
Acidification (Ae) ,0.000121757,heat CHP,0.026658657
Acidification (Ae) ,0.000140982,electricity CHP,0.030867916
Acidification (Ae) ,0.036699587,syncrude,8.035374323
Acidification (Ae) ,0.001274559,H2,0.279064734
Acidification (Ae) ,0,C1C4,0
Acidification (Ae) ,0,H20,0
Acidification (Ae) ,0,naphta,0
Acidification (Ae) ,0,jet fuel,0
Climate Change (Gwp100),87.57022682,syngas,94.21911943
Climate Change (Gwp100),0.312910771,heat CHP,0.336668961
Climate Change (Gwp100),0.362317693,electricity CHP,0.389827173
Climate Change (Gwp100),4.540032908,syncrude,4.884741291
Climate Change (Gwp100),0.1576738,H2,0.169645405
Climate Change (Gwp100),0,C1C4,0
Climate Change (Gwp100),0,H20,0
Climate Change (Gwp100),0,naphta,0
Climate Change (Gwp100),0,jet fuel,0
Climate Change: Biogenic (Gwp100),0.148167656,syngas,90.54061582
Climate Change: Biogenic (Gwp100),9.53E-07,heat CHP,0.000582373
Climate Change: Biogenic (Gwp100),1.10E-06,electricity CHP,0.000674326
Climate Change: Biogenic (Gwp100),0.014958315,syncrude,9.14055824
Climate Change: Biogenic (Gwp100),0.000519698,H2,0.31757137
Climate Change: Biogenic (Gwp100),0,C1C4,0
Climate Change: Biogenic (Gwp100),0,H20,0
Climate Change: Biogenic (Gwp100),0,naphta,0
Climate Change: Biogenic (Gwp100),0,jet fuel,0
Climate Change: Fossil (Gwp100),87.22510993,syngas,94.21752997
Climate Change: Fossil (Gwp100),0.312909102,heat CHP,0.337993529
Climate Change: Fossil (Gwp100),0.362315761,electricity CHP,0.391360883
Climate Change: Fossil (Gwp100),4.521081706,syncrude,4.883515212
Climate Change: Fossil (Gwp100),0.157015489,H2,0.16960267
Climate Change: Fossil (Gwp100),0,C1C4,0
Climate Change: Fossil (Gwp100),0,H20,0
Climate Change: Fossil (Gwp100),0,naphta,0
Climate Change: Fossil (Gwp100),0,jet fuel,0
Climate Change: Land And Use Change (Gwp100),0.196949234,syngas,97.94460307
Climate Change: Land And Use Change (Gwp100),7.15E-07,heat CHP,0.000355801
Climate Change: Land And Use Change (Gwp100),8.28E-07,electricity CHP,0.00041198
Climate Change: Land And Use Change (Gwp100),0.003992887,syncrude,1.985697927
Climate Change: Land And Use Change (Gwp100),0.000138613,H2,0.0689336
Climate Change: Land And Use Change (Gwp100),0,C1C4,0
Climate Change: Land And Use Change (Gwp100),0,H20,0
Climate Change: Land And Use Change (Gwp100),0,naphta,0
Climate Change: Land And Use Change (Gwp100),0,jet fuel,0
Ecotoxicity: Freshwater (Ctue) ,311.0087165,syngas,83.42634307
Ecotoxicity: Freshwater (Ctue) ,0.014695032,heat CHP,0.00394186
Ecotoxicity: Freshwater (Ctue) ,0.017015298,electricity CHP,0.004564258
Ecotoxicity: Freshwater (Ctue) ,59.68108977,syncrude,16.00911745
Ecotoxicity: Freshwater (Ctue) ,2.072868204,H2,0.556035264
Ecotoxicity: Freshwater (Ctue) ,0,C1C4,0
Ecotoxicity: Freshwater (Ctue) ,0,H20,0
Ecotoxicity: Freshwater (Ctue) ,0,naphta,0
Ecotoxicity: Freshwater (Ctue) ,0,jet fuel,0
"Ecotoxicity: Freshwater, Inorganics (Ctue) ",221.1016307,syngas,80.24319639
"Ecotoxicity: Freshwater, Inorganics (Ctue) ",0.008333085,heat CHP,0.003024281
"Ecotoxicity: Freshwater, Inorganics (Ctue) ",0.009648835,electricity CHP,0.003501798
"Ecotoxicity: Freshwater, Inorganics (Ctue) ",52.59299332,syncrude,19.08728524
"Ecotoxicity: Freshwater, Inorganics (Ctue) ",1.826809995,H2,0.662994084
