Category,Score,Process
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.034121221503517214,"electricity production, hard coal"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.03335198313207663,"electricity production, lignite"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.03162568203855808,"heat and power co-generation, hard coal"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.022002133315962666,"transport, freight, sea, tanker for petroleum"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.02186346424921457,"electricity production, lignite"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.02175962635790399,"heavy fuel oil production, petroleum refinery operation"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.018976993394267786,"heat and power co-generation, lignite"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.009945120051911225,"treatment of waste gypsum, sanitary landfill"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.009436929204132503,"transport, freight, sea, bulk carrier for dry goods"
"('EF v3.1 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')",0.008651355556616516,"smelting of copper concentrate, sulfide ore"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",13.40637067020141,natural gas venting from petroleum/natural gas production
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",6.610632697923045,"electricity production, lignite"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",4.206267474035687,"heat and power co-generation, hard coal"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",3.5520413410905793,"sweet gas, burned in gas turbine"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",2.9428465426656985,"heavy fuel oil production, petroleum refinery operation"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",2.8177931423897964,"electricity production, natural gas, conventional power plant"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",2.7895953382566145,"electricity production, hard coal"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",2.55952784937425,"heat and power co-generation, lignite"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",2.4709835671450726,"treatment of waste natural gas, sweet, burned in production flare"
"('EF v3.1 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')",1.958374897738073,"electricity production, lignite"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.08251778611463019,anaerobic digestion of manure
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.010520424463378501,"heat and power co-generation, biogas, gas engine"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.005484503099268292,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.005040497411005037,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.0045886008880937175,"treatment of municipal solid waste, unsanitary landfill, wet infiltration class (500mm)"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.0038488274336422345,"heat and power co-generation, biogas, gas engine"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.0038176474376935138,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.0036597859789477285,"electricity production, hydro, reservoir, alpine region"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.002783848121700105,"treatment of municipal solid waste, open dump, wet infiltration class (500mm)"
"('EF v3.1 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')",0.002476789327296681,"electricity production, hydro, pumped storage"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",13.40637067020141,natural gas venting from petroleum/natural gas production
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",6.610632697923045,"electricity production, lignite"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",4.206267474035687,"heat and power co-generation, hard coal"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",3.5520413410905793,"sweet gas, burned in gas turbine"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",2.9428465426656985,"heavy fuel oil production, petroleum refinery operation"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",2.8177931423897964,"electricity production, natural gas, conventional power plant"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",2.7895953382566145,"electricity production, hard coal"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",2.55952784937425,"heat and power co-generation, lignite"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",2.4709835671450726,"treatment of waste natural gas, sweet, burned in production flare"
"('EF v3.1 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')",1.958374897738073,"electricity production, lignite"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.03883362911443657,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.035689797866530856,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.027031273754745077,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.017537180012473008,"electricity production, hydro, pumped storage"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.01138035539050965,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.009646361485555534,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.009398389167153465,"electricity production, hydro, pumped storage"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.007805913680218067,"electricity production, hydro, reservoir, non-alpine region"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.00430053802308898,"electricity production, hydro, pumped storage"
"('EF v3.1 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')",0.003730652850017821,"electricity production, hydro, pumped storage"
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",67.10435428734023,coke production
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",65.27210098169547,lignite mine operation
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",24.661475967110768,"treatment of water discharge from petroleum/natural gas extraction, onshore"
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",17.847566235660185,"wood preservation, pressure vessel, creosote, outdoor use, ground contact"
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",10.786889545052713,"coke production, wet quenching"
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",9.248745020407762,"treatment of drilling waste, landfarming"
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",8.971013606517332,ammonium sulfate production
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",8.398929603690135,hard coal mine operation and hard coal preparation
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",8.221509452004376,hard coal mine operation and hard coal preparation
"('EF v3.1 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')",6.137706911341687,"treatment of sulfidic tailings, from copper mine operation, tailings impoundment"
