Impact Category,Score,Process
Acidification (Ae) ,0.034121231,"Electricity Production, Hard Coal"
Acidification (Ae) ,0.033351992,"Electricity Production, Lignite"
Acidification (Ae) ,0.031625691,"Heat And Power Co-Generation, Hard Coal"
Acidification (Ae) ,0.022002148,"Transport, Freight, Sea, Tanker For Petroleum"
Acidification (Ae) ,0.02186347,"Electricity Production, Lignite"
Acidification (Ae) ,0.021759631,"Heavy Fuel Oil Production, Petroleum Refinery Operation"
Acidification (Ae) ,0.018976999,"Heat And Power Co-Generation, Lignite"
Acidification (Ae) ,0.009945131,"Treatment Of Waste Gypsum, Sanitary Landfill"
Acidification (Ae) ,0.009436312,"Transport, Freight, Sea, Bulk Carrier For Dry Goods"
Acidification (Ae) ,0.00864996,"Smelting Of Copper Concentrate, Sulfide Ore"
Climate Change (Gwp100),13.40636969,Natural Gas Venting From Petroleum/Natural Gas Production
Climate Change (Gwp100),6.610666152,"Electricity Production, Lignite"
Climate Change (Gwp100),4.206268673,"Heat And Power Co-Generation, Hard Coal"
Climate Change (Gwp100),3.552039803,"Sweet Gas, Burned In Gas Turbine"
Climate Change (Gwp100),2.942847136,"Heavy Fuel Oil Production, Petroleum Refinery Operation"
Climate Change (Gwp100),2.817793925,"Electricity Production, Natural Gas, Conventional Power Plant"
Climate Change (Gwp100),2.789596089,"Electricity Production, Hard Coal"
Climate Change (Gwp100),2.559528579,"Heat And Power Co-Generation, Lignite"
Climate Change (Gwp100),2.47098371,"Treatment Of Waste Natural Gas, Sweet, Burned In Production Flare"
Climate Change (Gwp100),1.958375424,"Electricity Production, Lignite"
Climate Change: Biogenic (Gwp100),0.082518044,Anaerobic Digestion Of Manure
Climate Change: Biogenic (Gwp100),0.010520478,"Heat And Power Co-Generation, Biogas, Gas Engine"
Climate Change: Biogenic (Gwp100),0.005484505,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Biogenic (Gwp100),0.005040503,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Biogenic (Gwp100),0.004588572,"Treatment Of Municipal Solid Waste, Unsanitary Landfill, Wet Infiltration Class (500mm)"
Climate Change: Biogenic (Gwp100),0.003848828,"Heat And Power Co-Generation, Biogas, Gas Engine"
Climate Change: Biogenic (Gwp100),0.003817648,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Biogenic (Gwp100),0.003659787,"Electricity Production, Hydro, Reservoir, Alpine Region"
Climate Change: Biogenic (Gwp100),0.002783831,"Treatment Of Municipal Solid Waste, Open Dump, Wet Infiltration Class (500mm)"
Climate Change: Biogenic (Gwp100),0.002476802,"Electricity Production, Hydro, Pumped Storage"
Climate Change: Fossil (Gwp100),13.40636969,Natural Gas Venting From Petroleum/Natural Gas Production
Climate Change: Fossil (Gwp100),6.610666152,"Electricity Production, Lignite"
Climate Change: Fossil (Gwp100),4.206268673,"Heat And Power Co-Generation, Hard Coal"
Climate Change: Fossil (Gwp100),3.552039803,"Sweet Gas, Burned In Gas Turbine"
Climate Change: Fossil (Gwp100),2.942847136,"Heavy Fuel Oil Production, Petroleum Refinery Operation"
Climate Change: Fossil (Gwp100),2.817793925,"Electricity Production, Natural Gas, Conventional Power Plant"
Climate Change: Fossil (Gwp100),2.789596089,"Electricity Production, Hard Coal"
Climate Change: Fossil (Gwp100),2.559528579,"Heat And Power Co-Generation, Lignite"
Climate Change: Fossil (Gwp100),2.47098371,"Treatment Of Waste Natural Gas, Sweet, Burned In Production Flare"
Climate Change: Fossil (Gwp100),1.958375424,"Electricity Production, Lignite"
Climate Change: Land And Use Change (Gwp100),0.038833639,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Land And Use Change (Gwp100),0.035689838,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Land And Use Change (Gwp100),0.027031275,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Land And Use Change (Gwp100),0.017537269,"Electricity Production, Hydro, Pumped Storage"
Climate Change: Land And Use Change (Gwp100),0.011380358,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Land And Use Change (Gwp100),0.00964636,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Land And Use Change (Gwp100),0.00939839,"Electricity Production, Hydro, Pumped Storage"
Climate Change: Land And Use Change (Gwp100),0.007805953,"Electricity Production, Hydro, Reservoir, Non-Alpine Region"
Climate Change: Land And Use Change (Gwp100),0.004300539,"Electricity Production, Hydro, Pumped Storage"
Climate Change: Land And Use Change (Gwp100),0.003730654,"Electricity Production, Hydro, Pumped Storage"
